trials_5.thisTrialN,trials_5.stepSize,trials_5.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,correctAns,tilt,key_resp.corr,trials_5.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
79,0.5,4.0,75.95496840000851,76.45548679999774,76.45548679999774,76.45548679999774,76.755614099995,right,4.0,1,1,0.505379800015362,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
80,0.5,4.0,76.98812300001737,77.48861020000186,77.48861020000186,77.48861020000186,77.78866099999868,right,4.0,1,1,0.724679599981755,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
81,0.5,4.0,78.23811010000645,78.7383185000217,78.7383185000217,78.7383185000217,79.03858590000891,left,-4.0,1,1,0.48249850000138395,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
82,0.5,3.5,79.23810850002337,79.72162369999569,79.72162369999569,79.73897030000808,,left,-3.5,0,0,0.23350150001351722,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
83,0.5,4.0,79.97152010002173,80.47123840000131,80.47123840000131,80.47123840000131,80.77123900002334,right,4.0,0,0,0.27575979998800904,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
84,0.5,4.5,80.77123900002334,81.27172330001486,81.27172330001486,81.27172330001486,81.57090910000261,left,-4.5,0,0,0.39464099999167956,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
85,0.5,5.0,81.688438400015,82.18822189999628,82.18822189999628,82.18822189999628,82.48843600001419,right,5.0,1,1,0.47129649997805245,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
86,0.5,5.0,82.68829360001837,83.18703160001314,83.18703160001314,83.18703160001314,83.488141800015,right,5.0,1,1,0.6057947999797761,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
87,0.5,5.0,83.82118020000053,84.3043910000124,84.3043910000124,84.32116260001203,84.6038931000221,right,5.0,1,1,0.3183718000072986,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
88,0.5,4.5,84.65541020000819,85.1546529000043,85.1546529000043,85.1546529000043,85.45478040000307,right,4.5,1,1,0.31453060000785626,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
89,0.5,4.5,85.48779370001284,85.98833660001401,85.98833660001401,85.98833660001401,86.28742500001681,right,4.5,1,1,0.328333899989957,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
90,0.5,4.5,86.33675200000289,86.82073780000792,86.82073780000792,86.83775880001485,87.12046370000462,right,4.5,1,1,0.3161998000286985,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
91,0.5,4.0,87.15408900001785,87.65521100000478,87.65521100000478,87.65521100000478,87.97153760000947,left,-4.0,1,1,0.40577569999732077,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
92,0.5,4.0,88.08781940001063,88.58805140000186,88.58805140000186,88.58805140000186,88.88831599999685,left,-4.0,1,1,0.4102813000208698,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
93,0.5,4.0,89.0209232000052,89.5040607000119,89.5040607000119,89.52058179999585,89.80465470001218,right,4.0,1,1,0.3893143000022974,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
94,0.5,3.5,89.9213357999979,90.42131269999663,90.42131269999663,90.42131269999663,90.72122629999649,right,3.5,1,1,0.3934185999969486,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
95,0.5,3.5,90.83731590001844,91.33792940000421,91.33792940000421,91.33792940000421,91.63744520000182,left,-3.5,1,1,0.33899650000967085,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
96,0.5,3.5,91.7043964000186,92.18781260002288,92.18781260002288,92.20453270000871,92.48757930001011,left,-3.5,0,0,0.3239909000112675,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
97,0.5,4.0,92.53662150001037,93.03809290000936,93.03809290000936,93.03809290000936,93.33706240000902,left,-4.0,1,1,0.4601362999819685,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
98,0.5,4.0,93.52127570001176,94.02064930001507,94.02064930001507,94.02064930001507,94.32076520001283,right,4.0,1,1,0.6895709999953397,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
99,0.5,4.0,94.73765970001114,95.23792519999552,95.23792519999552,95.23792519999552,95.53670980001334,left,-4.0,1,1,0.4172270000271965,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
100,0.5,3.5,95.68750930001261,96.1875841000001,96.1875841000001,96.1875841000001,96.48747079999885,left,-3.5,1,1,0.6104304000036791,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
101,0.5,3.5,96.82061550000799,97.31973020001897,97.31973020001897,97.31973020001897,97.62045760001638,right,3.5,1,1,0.46308529999805614,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
102,0.5,3.5,97.80398369999602,98.30375469999854,98.30375469999854,98.30375469999854,98.60412820000784,left,-3.5,1,1,0.27326170000014827,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
103,0.5,3.0,98.60412820000784,99.10376420000102,99.10376420000102,99.10376420000102,99.40408850001404,right,3.0,1,1,0.4433487000060268,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
104,0.5,3.0,99.56979800001136,100.07051620000857,100.07051620000857,100.07051620000857,100.36994000000414,left,-3.0,1,1,0.5358055999968201,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
105,0.5,3.0,100.63716589999967,101.13686400000006,101.13686400000006,101.15271200001007,101.43649660001392,left,-3.0,0,0,13.133705999993253,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
106,0.5,3.5,114.28563250001753,114.78643870001542,114.78643870001542,114.78643870001542,115.08633980000741,right,3.5,1,1,0.6101595999789424,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
107,0.5,3.5,115.41925900001661,115.91898980000406,115.91898980000406,115.91898980000406,116.21959230001085,left,-3.5,1,1,0.6613328000239562,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
108,0.5,3.5,116.60296750001726,117.10320830001729,117.10320830001729,117.10320830001729,117.40291050000815,left,-3.5,1,1,0.48735690000467,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
109,0.5,3.0,117.61884900002042,118.11959400001797,118.11959400001797,118.11959400001797,118.41949490000843,right,3.0,1,1,0.399224900000263,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
110,0.5,3.0,118.53549420001218,119.0352952000103,119.0352952000103,119.0352952000103,119.33604880000348,right,3.0,1,1,0.29251440000371076,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
111,0.5,3.0,119.35283340001479,119.85287210001843,119.85287210001843,119.85287210001843,120.15256370001589,right,3.0,1,1,0.4003382000082638,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
112,0.5,2.5,120.26933290000306,120.76859670001431,120.76859670001431,120.76859670001431,,right,2.5,1,1,0.2626442000037059,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
113,0.5,2.5,121.0525925999973,121.5527248000144,121.5527248000144,121.5527248000144,121.85270630000741,right,2.5,1,1,0.33152040001004934,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
114,0.5,2.5,121.902610500023,122.40273570001591,122.40273570001591,122.40273570001591,,right,2.5,1,1,0.22660669998731464,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
115,0.5,2.0,122.65186990000075,123.15178450001986,123.15178450001986,123.15178450001986,,left,-2.0,0,0,0.211892599996645,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
