trials_5.thisTrialN,trials_5.stepSize,trials_5.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,correctAns,tilt,key_resp.corr,trials_5.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
69,0.5,5.0,67.57251850000466,68.07251520000864,68.07251520000864,68.07251520000864,68.37266520000412,right,5.0,1,1,0.31940780000877567,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
70,0.5,4.5,68.4222199000069,68.9224895000225,68.9224895000225,68.9224895000225,69.2226415000041,right,4.5,1,1,0.3204674999869894,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
71,0.5,4.5,69.27170510002179,69.772527299996,69.772527299996,69.772527299996,70.07220550000784,left,-4.5,1,1,0.41687879999517463,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
72,0.5,4.5,70.20579269999871,70.70559779999894,70.70559779999894,70.70559779999894,71.00480700001935,right,4.5,1,1,0.3470297000021674,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
73,0.5,4.0,71.0722475000075,71.57211850001477,71.57211850001477,71.57211850001477,71.87224590001279,right,4.0,1,1,0.3514769999892451,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
74,0.5,4.0,71.95506619999651,72.45555700000841,72.45555700000841,72.45555700000841,72.75511379999807,left,-4.0,1,1,0.3264593000058085,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
75,0.5,4.0,72.80491629999597,73.30623690001084,73.30623690001084,73.30623690001084,,right,4.0,1,1,0.195840300002601,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
76,0.5,3.5,73.52119890000904,74.00526750000427,74.00526750000427,74.02152570002363,,left,-3.5,1,1,0.21645860001444817,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
77,0.5,3.5,74.23810590000357,74.73859770002309,74.73859770002309,74.73859770002309,75.03819310001563,right,3.5,1,1,0.39335899997968227,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
78,0.5,3.5,75.15494000000763,75.65595010001562,75.65595010001562,75.65595010001562,75.95496840000851,right,3.5,0,0,0.27590830001281574,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
